,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1970-10-14,2096.1201171875,2096.1201171875,2096.1201171875,2096.1201171875,2096.1201171875,0.0,^N225,1965.8223,2143.719970703125,-130.2978515625,0.0
1970-10-22,2107.159912109375,2107.159912109375,2107.159912109375,2107.159912109375,2107.159912109375,0.0,^N225,2000.3191,2109.989990234375,-106.8408203125,0.0
1970-10-23,2101.679931640625,2101.679931640625,2101.679931640625,2101.679931640625,2101.679931640625,0.0,^N225,2000.5956,2111.090087890625,-101.0843505859375,0.0
1970-11-04,2143.719970703125,2143.719970703125,2143.719970703125,2143.719970703125,2143.719970703125,0.0,^N225,2000.0178,2056.929931640625,0.0,143.7021484375
1970-11-05,2143.719970703125,2143.719970703125,2143.719970703125,2143.719970703125,2143.719970703125,0.0,^N225,2005.5133,2041.1500244140625,0.0,138.2066650390625
1970-11-18,2087.8798828125,2087.8798828125,2087.8798828125,2087.8798828125,2087.8798828125,0.0,^N225,1999.293,1965.780029296875,0.0,88.5869140625
1970-11-25,2056.929931640625,2056.929931640625,2056.929931640625,2056.929931640625,2056.929931640625,0.0,^N225,1969.2959,1973.4100341796873,0.0,87.634033203125
1970-11-30,1990.469970703125,1990.469970703125,1990.469970703125,1990.469970703125,1990.469970703125,0.0,^N225,1936.1454,1988.9599609375,0.0,54.3245849609375
1970-12-07,1969.5699462890625,1969.5699462890625,1969.5699462890625,1969.5699462890625,1969.5699462890625,0.0,^N225,1894.1086,1987.1400146484375,-75.4613037109375,0.0
1970-12-28,1987.1400146484375,1987.1400146484375,1987.1400146484375,1987.1400146484375,1987.1400146484375,0.0,^N225,1858.3135,2097.39990234375,-128.8265380859375,0.0
1970-12-29,1987.1400146484375,1987.1400146484375,1987.1400146484375,1987.1400146484375,1987.1400146484375,0.0,^N225,1859.8387,2115.25,-127.30126953125,0.0
1970-12-30,1987.1400146484375,1987.1400146484375,1987.1400146484375,1987.1400146484375,1987.1400146484375,0.0,^N225,1861.4148,2102.3701171875,-125.7252197265625,0.0
1971-01-08,2040.9300537109375,2040.9300537109375,2040.9300537109375,2040.9300537109375,2040.9300537109375,0.0,^N225,1873.002,2100.89990234375,-167.9281005859375,0.0
1971-01-12,2092.330078125,2092.330078125,2092.330078125,2092.330078125,2092.330078125,0.0,^N225,1886.8915,2113.550048828125,-205.4385986328125,0.0
1971-01-29,2100.89990234375,2100.89990234375,2100.89990234375,2100.89990234375,2100.89990234375,0.0,^N225,1993.5756,2213.389892578125,-107.3243408203125,0.0
1971-02-09,2122.659912109375,2122.659912109375,2122.659912109375,2122.659912109375,2122.659912109375,0.0,^N225,2010.8376,2246.610107421875,-111.822265625,0.0
1971-02-18,2202.889892578125,2202.889892578125,2202.889892578125,2202.889892578125,2202.889892578125,0.0,^N225,2047.5049,2309.10009765625,-155.385009765625,0.0
1971-03-15,2301.39990234375,2301.39990234375,2301.39990234375,2301.39990234375,2301.39990234375,0.0,^N225,2187.8584,2373.419921875,-113.54150390625,0.0
1971-03-17,2317.360107421875,2317.360107421875,2317.360107421875,2317.360107421875,2317.360107421875,0.0,^N225,2201.6548,2416.919921875,-115.705322265625,0.0
1971-03-24,2364.06005859375,2364.06005859375,2364.06005859375,2364.06005859375,2364.06005859375,0.0,^N225,2228.9749,2437.530029296875,-135.085205078125,0.0
1971-03-30,2401.330078125,2401.330078125,2401.330078125,2401.330078125,2401.330078125,0.0,^N225,2271.563,2374.669921875,0.0,129.76708984375
1971-04-26,2436.929931640625,2436.929931640625,2436.929931640625,2436.929931640625,2436.929931640625,0.0,^N225,2333.1865,2417.6201171875,0.0,103.743408203125
1971-04-28,2450.739990234375,2450.739990234375,2450.739990234375,2450.739990234375,2450.739990234375,0.0,^N225,2339.9307,2365.919921875,0.0,110.809326171875
1971-04-30,2468.179931640625,2468.179931640625,2468.179931640625,2468.179931640625,2468.179931640625,0.0,^N225,2345.6453,2385.2099609375,0.0,122.53466796875
1971-05-13,2428.010009765625,2428.010009765625,2428.010009765625,2428.010009765625,2428.010009765625,0.0,^N225,2340.073,2473.909912109375,-87.93701171875,0.0
1971-05-17,2417.6201171875,2417.6201171875,2417.6201171875,2417.6201171875,2417.6201171875,0.0,^N225,2333.4082,2506.06005859375,-84.2119140625,0.0
1971-05-25,2404.77001953125,2404.77001953125,2404.77001953125,2404.77001953125,2404.77001953125,0.0,^N225,2300.9714,2542.1298828125,-103.798583984375,0.0
1971-05-26,2408.800048828125,2408.800048828125,2408.800048828125,2408.800048828125,2408.800048828125,0.0,^N225,2301.4531,2555.050048828125,-107.346923828125,0.0
1971-05-28,2432.719970703125,2432.719970703125,2432.719970703125,2432.719970703125,2432.719970703125,0.0,^N225,2308.8577,2584.489990234375,-123.8623046875,0.0
1971-06-01,2455.949951171875,2455.949951171875,2455.949951171875,2455.949951171875,2455.949951171875,0.0,^N225,2325.7178,2586.580078125,-130.232177734375,0.0
1971-06-02,2475.929931640625,2475.929931640625,2475.929931640625,2475.929931640625,2475.929931640625,0.0,^N225,2336.3464,2600.489990234375,-139.58349609375,0.0
1971-06-08,2504.31005859375,2504.31005859375,2504.31005859375,2504.31005859375,2504.31005859375,0.0,^N225,2380.492,2625.139892578125,-123.818115234375,0.0
1971-06-10,2523.840087890625,2523.840087890625,2523.840087890625,2523.840087890625,2523.840087890625,0.0,^N225,2400.4832,2651.06005859375,-123.35693359375,0.0
1971-06-14,2531.489990234375,2531.489990234375,2531.489990234375,2531.489990234375,2531.489990234375,0.0,^N225,2418.714,2630.43994140625,-112.77587890625,0.0
1971-06-17,2581.030029296875,2581.030029296875,2581.030029296875,2581.030029296875,2581.030029296875,0.0,^N225,2446.7395,2638.739990234375,-134.29052734375,0.0
