,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1998-02-20,5.2291669845581055,5.2916669845581055,5.1145830154418945,5.2708330154418945,5.2708330154418945,2703600,AMZN,-7.9323854,6.5572919845581055,-13.203218460083008,0.0
1998-02-23,5.2916669845581055,5.4166669845581055,5.2083330154418945,5.40625,5.40625,3978000,AMZN,-7.8614516,6.5833330154418945,-13.267701625823975,0.0
1998-02-25,5.46875,5.5416669845581055,5.2604169845581055,5.4895830154418945,5.4895830154418945,6745200,AMZN,-8.081177,7.109375,-13.570759773254395,0.0
1998-03-02,6.3229169845581055,6.4375,6.25,6.3541669845581055,6.3541669845581055,10957200,AMZN,-8.905968,6.984375,-15.26013469696045,0.0
1998-03-03,6.2916669845581055,6.3125,5.9583330154418945,5.9791669845581055,5.9791669845581055,8016000,AMZN,-8.93843,7.020833015441895,-14.917596817016602,0.0
1998-03-10,7.125,7.3541669845581055,6.90625,6.925780773162842,6.925780773162842,24750000,AMZN,-7.944497,7.127604007720946,-14.870277881622314,0.0
1998-03-16,6.6302080154418945,6.7291669845581055,6.5833330154418945,6.5833330154418945,6.5833330154418945,3312000,AMZN,-6.435164,7.3854169845581055,-13.018496990203857,0.0
1998-03-20,7.0,7.0729169845581055,6.9270830154418945,7.0,7.0,6412800,AMZN,-4.5278845,7.859375,-11.527884483337402,0.0
1998-03-26,6.8125,6.9791669845581055,6.625,6.8958330154418945,6.8958330154418945,7878000,AMZN,-3.839135,7.90625,-10.734967947006226,0.0
1998-04-01,7.1041669845581055,7.53125,7.002604007720947,7.5104169845581055,7.5104169845581055,14451600,AMZN,-4.270247,6.75,0.0,11.780663967132568
1998-04-09,7.6979169845581055,8.0,7.6354169845581055,7.9375,7.9375,16034400,AMZN,-5.5363026,7.875,0.0,13.47380256652832
1998-04-15,8.166666984558105,8.333333015441895,7.875,8.010416984558105,8.010416984558105,11192400,AMZN,-5.380272,7.531250000000001,0.0,13.3906888961792
1998-04-16,8.010416984558105,8.276041984558105,7.765625,8.208333015441895,8.208333015441895,16244400,AMZN,-5.260149,7.5833330154418945,0.0,13.46848201751709
1998-04-23,7.25,7.25,6.7083330154418945,6.75,6.75,12253200,AMZN,-4.0010304,7.6302080154418945,-10.751030445098877,0.0
1998-05-05,7.8333330154418945,7.9583330154418945,7.7604169845581055,7.809895992279053,7.809895992279053,5998800,AMZN,-5.29674,7.218750000000001,0.0,13.106636047363281
1998-05-06,7.8333330154418945,7.8333330154418945,7.5104169845581055,7.53125,7.53125,7438800,AMZN,-4.2521586,7.161458015441894,0.0,11.783408641815186
1998-05-07,7.5833330154418945,7.75,7.3541669845581055,7.5833330154418945,7.5833330154418945,13887600,AMZN,-3.2921078,7.34375,0.0,10.875440835952759
1998-05-15,7.65625,7.7083330154418945,7.4583330154418945,7.46875,7.46875,4628400,AMZN,-0.6012082,7.7083330154418945,-8.069958209991455,0.0
1998-05-20,7.53125,7.625,7.3541669845581055,7.3854169845581055,7.3854169845581055,4048800,AMZN,-0.808246,10.416666984558105,-8.193663001060486,0.0
1998-05-29,7.15625,7.4166669845581055,7.125,7.34375,7.34375,8641200,AMZN,-3.8753972,12.635416984558105,-11.219147205352783,0.0
1998-06-02,7.2708330154418945,7.4166669845581055,6.9166669845581055,7.28125,7.28125,8201400,AMZN,-4.705837,15.447916984558104,-11.987086772918701,0.0
1998-06-03,7.4791669845581055,7.5416669845581055,7.0,7.0416669845581055,7.0416669845581055,6581400,AMZN,-4.898807,16.635417938232422,-11.940474033355713,0.0
1998-06-05,7.2916669845581055,7.3958330154418945,7.1875,7.375,7.375,3427200,AMZN,-4.8632083,15.708333015441895,-12.238208293914795,0.0
1998-06-08,7.3020830154418945,7.71875,7.25,7.7083330154418945,7.7083330154418945,5463000,AMZN,-4.7147727,16.458332061767578,-12.423105716705322,0.0
1998-06-12,10.583333015441895,10.583333015441895,9.708333015441895,10.166666984558105,10.166666984558105,21655800,AMZN,-5.519943,23.25,-15.686610221862793,0.0
1998-06-18,13.5,13.75,11.958333015441895,12.020833015441895,12.020833015441895,31639800,AMZN,-5.390306,16.583332061767578,-17.411139011383057,0.0
1998-07-02,19.291667938232422,20.916667938232422,18.75,20.666667938232422,20.666667938232422,52279800,AMZN,8.033184,20.708332061767578,-12.63348388671875,0.0
1998-07-24,21.541667938232422,21.916667938232422,19.5,20.708332061767578,20.708332061767578,28974000,AMZN,17.7726,20.458332061767578,0.0,2.935731887817383
1998-08-07,18.541667938232422,19.8125,18.229167938232422,19.333332061767578,19.333332061767578,23433000,AMZN,13.297467,17.6484375,0.0,6.03586483001709
1998-08-13,21.770832061767578,22.5,21.166667938232422,21.25,21.25,24629400,AMZN,13.054703,14.3125,0.0,8.195297241210938
1998-08-20,21.041667938232422,21.625,20.916667938232422,21.520832061767578,21.520832061767578,15886200,AMZN,13.732341,12.677083015441895,0.0,7.788491249084473
