,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1970-06-16,2054.3701171875,2054.3701171875,2054.3701171875,2054.3701171875,2054.3701171875,0.0,^N225,1881.7172,2116.860107421875,-172.6529541015625,0.0
1970-06-19,2113.219970703125,2113.219970703125,2113.219970703125,2113.219970703125,2113.219970703125,0.0,^N225,1877.9158,2102.219970703125,0.0,235.30419921875
1970-07-06,2117.64990234375,2117.64990234375,2117.64990234375,2117.64990234375,2117.64990234375,0.0,^N225,1944.5159,2130.050048828125,-173.134033203125,0.0
1970-07-13,2110.010009765625,2110.010009765625,2110.010009765625,2110.010009765625,2110.010009765625,0.0,^N225,1927.3025,2159.159912109375,-182.70751953125,0.0
1970-07-31,2159.159912109375,2159.159912109375,2159.159912109375,2159.159912109375,2159.159912109375,0.0,^N225,1938.6863,2164.280029296875,-220.4736328125,0.0
1970-08-05,2169.780029296875,2169.780029296875,2169.780029296875,2169.780029296875,2169.780029296875,0.0,^N225,1955.9185,2153.360107421875,0.0,213.861572265625
1970-08-12,2122.830078125,2122.830078125,2122.830078125,2122.830078125,2122.830078125,0.0,^N225,1952.07,2130.5400390625,-170.7601318359375,0.0
1970-08-13,2142.85009765625,2142.85009765625,2142.85009765625,2142.85009765625,2142.85009765625,0.0,^N225,1949.5112,2139.050048828125,0.0,193.3388671875
1970-08-14,2136.14990234375,2136.14990234375,2136.14990234375,2136.14990234375,2136.14990234375,0.0,^N225,1947.4912,2144.9599609375,-188.65869140625,0.0
1970-09-03,2139.050048828125,2139.050048828125,2139.050048828125,2139.050048828125,2139.050048828125,0.0,^N225,1956.3978,2094.0,0.0,182.6522216796875
1970-09-14,2168.39990234375,2168.39990234375,2168.39990234375,2168.39990234375,2168.39990234375,0.0,^N225,1966.6353,2065.590087890625,0.0,201.7646484375
1970-09-28,2020.8800048828125,2020.8800048828125,2020.8800048828125,2020.8800048828125,2020.8800048828125,0.0,^N225,1904.1782,2133.030029296875,-116.7017822265625,0.0
1970-10-05,2065.590087890625,2065.590087890625,2065.590087890625,2065.590087890625,2065.590087890625,0.0,^N225,1869.3096,2094.89990234375,-196.280517578125,0.0
1970-10-08,2079.929931640625,2079.929931640625,2079.929931640625,2079.929931640625,2079.929931640625,0.0,^N225,1874.9784,2117.260009765625,-204.9515380859375,0.0
1970-10-14,2096.1201171875,2096.1201171875,2096.1201171875,2096.1201171875,2096.1201171875,0.0,^N225,1883.8475,2143.719970703125,-212.2725830078125,0.0
1970-10-22,2107.159912109375,2107.159912109375,2107.159912109375,2107.159912109375,2107.159912109375,0.0,^N225,1917.297,2109.989990234375,-189.8629150390625,0.0
1970-10-23,2101.679931640625,2101.679931640625,2101.679931640625,2101.679931640625,2101.679931640625,0.0,^N225,1917.5084,2111.090087890625,-184.1715087890625,0.0
1970-11-04,2143.719970703125,2143.719970703125,2143.719970703125,2143.719970703125,2143.719970703125,0.0,^N225,1917.0101,2056.929931640625,0.0,226.7098388671875
1970-11-05,2143.719970703125,2143.719970703125,2143.719970703125,2143.719970703125,2143.719970703125,0.0,^N225,1922.4685,2041.1500244140625,0.0,221.25146484375
1970-11-18,2087.8798828125,2087.8798828125,2087.8798828125,2087.8798828125,2087.8798828125,0.0,^N225,1916.4382,1965.780029296875,0.0,171.441650390625
1970-11-25,2056.929931640625,2056.929931640625,2056.929931640625,2056.929931640625,2056.929931640625,0.0,^N225,1887.124,1973.4100341796873,0.0,169.805908203125
1970-11-30,1990.469970703125,1990.469970703125,1990.469970703125,1990.469970703125,1990.469970703125,0.0,^N225,1854.6124,1988.9599609375,0.0,135.8575439453125
1970-12-07,1969.5699462890625,1969.5699462890625,1969.5699462890625,1969.5699462890625,1969.5699462890625,0.0,^N225,1813.324,1987.1400146484375,-156.2459716796875,0.0
1970-12-28,1987.1400146484375,1987.1400146484375,1987.1400146484375,1987.1400146484375,1987.1400146484375,0.0,^N225,1777.7224,2097.39990234375,-209.4176025390625,0.0
1970-12-29,1987.1400146484375,1987.1400146484375,1987.1400146484375,1987.1400146484375,1987.1400146484375,0.0,^N225,1779.1304,2115.25,-208.0096435546875,0.0
1970-12-30,1987.1400146484375,1987.1400146484375,1987.1400146484375,1987.1400146484375,1987.1400146484375,0.0,^N225,1780.5852,2102.3701171875,-206.5548095703125,0.0
1971-01-08,2040.9300537109375,2040.9300537109375,2040.9300537109375,2040.9300537109375,2040.9300537109375,0.0,^N225,1791.6543,2100.89990234375,-249.2757568359375,0.0
1971-01-12,2092.330078125,2092.330078125,2092.330078125,2092.330078125,2092.330078125,0.0,^N225,1805.2794,2113.550048828125,-287.0506591796875,0.0
1971-01-29,2100.89990234375,2100.89990234375,2100.89990234375,2100.89990234375,2100.89990234375,0.0,^N225,1909.8354,2213.389892578125,-191.064453125,0.0
1971-02-09,2122.659912109375,2122.659912109375,2122.659912109375,2122.659912109375,2122.659912109375,0.0,^N225,1927.4847,2246.610107421875,-195.1751708984375,0.0
1971-02-18,2202.889892578125,2202.889892578125,2202.889892578125,2202.889892578125,2202.889892578125,0.0,^N225,1963.8602,2309.10009765625,-239.0296630859375,0.0
1971-03-15,2301.39990234375,2301.39990234375,2301.39990234375,2301.39990234375,2301.39990234375,0.0,^N225,2102.2832,2373.419921875,-199.11669921875,0.0
1971-03-17,2317.360107421875,2317.360107421875,2317.360107421875,2317.360107421875,2317.360107421875,0.0,^N225,2115.9421,2416.919921875,-201.41796875,0.0
1971-03-24,2364.06005859375,2364.06005859375,2364.06005859375,2364.06005859375,2364.06005859375,0.0,^N225,2143.0508,2437.530029296875,-221.00927734375,0.0
1971-03-30,2401.330078125,2401.330078125,2401.330078125,2401.330078125,2401.330078125,0.0,^N225,2185.1904,2374.669921875,0.0,216.1396484375
1971-04-26,2436.929931640625,2436.929931640625,2436.929931640625,2436.929931640625,2436.929931640625,0.0,^N225,2246.598,2417.6201171875,0.0,190.33203125
1971-04-28,2450.739990234375,2450.739990234375,2450.739990234375,2450.739990234375,2450.739990234375,0.0,^N225,2253.3643,2365.919921875,0.0,197.375732421875
1971-04-30,2468.179931640625,2468.179931640625,2468.179931640625,2468.179931640625,2468.179931640625,0.0,^N225,2259.0452,2385.2099609375,0.0,209.134765625
1971-05-13,2428.010009765625,2428.010009765625,2428.010009765625,2428.010009765625,2428.010009765625,0.0,^N225,2253.675,2473.909912109375,-174.3349609375,0.0
1971-05-17,2417.6201171875,2417.6201171875,2417.6201171875,2417.6201171875,2417.6201171875,0.0,^N225,2247.2056,2506.06005859375,-170.41455078125,0.0
1971-05-25,2404.77001953125,2404.77001953125,2404.77001953125,2404.77001953125,2404.77001953125,0.0,^N225,2215.5325,2542.1298828125,-189.237548828125,0.0
1971-05-26,2408.800048828125,2408.800048828125,2408.800048828125,2408.800048828125,2408.800048828125,0.0,^N225,2216.036,2555.050048828125,-192.76416015625,0.0
1971-05-28,2432.719970703125,2432.719970703125,2432.719970703125,2432.719970703125,2432.719970703125,0.0,^N225,2223.3347,2584.489990234375,-209.38525390625,0.0
1971-06-01,2455.949951171875,2455.949951171875,2455.949951171875,2455.949951171875,2455.949951171875,0.0,^N225,2239.8708,2586.580078125,-216.0791015625,0.0
1971-06-02,2475.929931640625,2475.929931640625,2475.929931640625,2475.929931640625,2475.929931640625,0.0,^N225,2250.2766,2600.489990234375,-225.6533203125,0.0
1971-06-08,2504.31005859375,2504.31005859375,2504.31005859375,2504.31005859375,2504.31005859375,0.0,^N225,2293.4153,2625.139892578125,-210.894775390625,0.0
1971-06-10,2523.840087890625,2523.840087890625,2523.840087890625,2523.840087890625,2523.840087890625,0.0,^N225,2312.957,2651.06005859375,-210.883056640625,0.0
1971-06-14,2531.489990234375,2531.489990234375,2531.489990234375,2531.489990234375,2531.489990234375,0.0,^N225,2330.8252,2630.43994140625,-200.664794921875,0.0
1971-06-17,2581.030029296875,2581.030029296875,2581.030029296875,2581.030029296875,2581.030029296875,0.0,^N225,2358.4272,2638.739990234375,-222.602783203125,0.0
1971-06-25,2600.320068359375,2600.320068359375,2600.320068359375,2600.320068359375,2600.320068359375,0.0,^N225,2410.428,2670.8798828125,-189.89208984375,0.0
1971-07-08,2638.739990234375,2638.739990234375,2638.739990234375,2638.739990234375,2638.739990234375,0.0,^N225,2455.0598,2683.239990234375,-183.68017578125,0.0
1971-07-09,2659.570068359375,2659.570068359375,2659.570068359375,2659.570068359375,2659.570068359375,0.0,^N225,2459.6128,2661.5900878906255,-199.957275390625,0.0
1971-07-16,2670.8798828125,2670.8798828125,2670.8798828125,2670.8798828125,2670.8798828125,0.0,^N225,2495.208,2648.530029296875,0.0,175.671875
1971-07-27,2678.0,2678.0,2678.0,2678.0,2678.0,0.0,^N225,2503.6643,2440.820068359375,0.0,174.335693359375
1971-08-12,2704.89990234375,2704.89990234375,2704.89990234375,2704.89990234375,2704.89990234375,0.0,^N225,2504.3096,2352.27001953125,0.0,200.59033203125
1971-08-16,2530.47998046875,2530.47998046875,2530.47998046875,2530.47998046875,2530.47998046875,0.0,^N225,2504.63,2365.5800781249995,0.0,25.85009765625
1971-08-18,2328.280029296875,2328.280029296875,2328.280029296875,2328.280029296875,2328.280029296875,0.0,^N225,2429.5063,2325.5200195312505,0.0,-101.226318359375
1971-08-20,2283.8798828125,2283.8798828125,2283.8798828125,2283.8798828125,2283.8798828125,0.0,^N225,2300.962,2321.7900390624995,17.08203125,0.0
1971-08-24,2162.820068359375,2162.820068359375,2162.820068359375,2162.820068359375,2162.820068359375,0.0,^N225,2174.33,2364.6499023437495,11.510009765625,0.0
1971-08-27,2267.18994140625,2267.18994140625,2267.18994140625,2267.18994140625,2267.18994140625,0.0,^N225,2104.929,2352.31005859375,-162.260986328125,0.0
1971-09-03,2346.77001953125,2346.77001953125,2346.77001953125,2346.77001953125,2346.77001953125,0.0,^N225,2097.5383,2363.969970703125,-249.231689453125,0.0
1971-09-06,2365.580078125,2365.580078125,2365.580078125,2365.580078125,2365.580078125,0.0,^N225,2110.4973,2351.9599609375,0.0,255.082763671875
1971-09-07,2341.72998046875,2341.72998046875,2341.72998046875,2341.72998046875,2341.72998046875,0.0,^N225,2122.0188,2393.56005859375,-219.711181640625,0.0
1971-09-08,2325.52001953125,2325.52001953125,2325.52001953125,2325.52001953125,2325.52001953125,0.0,^N225,2130.0713,2420.360107421875,-195.44873046875,0.0
1971-09-10,2321.7900390625,2321.7900390625,2321.7900390625,2321.7900390625,2321.7900390625,0.0,^N225,2140.8184,2429.31005859375,-180.9716796875,0.0
1971-09-21,2372.989990234375,2372.989990234375,2372.989990234375,2372.989990234375,2372.989990234375,0.0,^N225,2164.766,2352.60009765625,0.0,208.223876953125
1971-10-06,2401.969970703125,2401.969970703125,2401.969970703125,2401.969970703125,2401.969970703125,0.0,^N225,2225.4453,2229.35009765625,0.0,176.524658203125
1971-10-07,2401.679931640625,2401.679931640625,2401.679931640625,2401.679931640625,2401.679931640625,0.0,^N225,2226.7793,2253.280029296875,0.0,174.900634765625
1971-10-15,2254.93994140625,2254.93994140625,2254.93994140625,2254.93994140625,2254.93994140625,0.0,^N225,2184.8225,2234.110107421875,0.0,70.117431640625
1971-10-29,2278.4599609375,2278.4599609375,2278.4599609375,2278.4599609375,2278.4599609375,0.0,^N225,2059.2537,2378.7900390625,-219.206298828125,0.0
1971-11-22,2408.110107421875,2408.110107421875,2408.110107421875,2408.110107421875,2408.110107421875,0.0,^N225,2163.8423,2496.719970703125,-244.267822265625,0.0
1971-11-25,2418.679931640625,2418.679931640625,2418.679931640625,2418.679931640625,2418.679931640625,0.0,^N225,2192.613,2468.110107421875,-226.06689453125,0.0
1971-12-03,2441.580078125,2441.580078125,2441.580078125,2441.580078125,2441.580078125,0.0,^N225,2248.4963,2658.7099609375,-193.083740234375,0.0
