,adjclose_1
2015-12-02,19172.254
2015-12-03,19187.773
2015-12-04,19175.473
2015-12-07,19158.252
2015-12-08,19131.482
2015-12-09,19084.73
2015-12-10,19009.969
2015-12-11,18926.742
2015-12-14,18823.703
2015-12-15,18709.277
2015-12-16,18612.205
2015-12-17,18562.152
2015-12-18,18536.107
2015-12-21,18499.51
2015-12-22,18461.475
2015-12-24,18426.73
2015-12-25,18388.762
2015-12-28,18354.924
2015-12-29,18330.03
2015-12-30,18324.63
2016-01-04,18303.914
2016-01-05,18259.857
2016-01-06,18194.959
2016-01-07,18099.889
2016-01-08,17972.775
2016-01-12,17812.828
2016-01-13,17658.383
2016-01-14,17496.346
2016-01-15,17347.553
2016-01-18,17187.379
2016-01-19,17037.963
2016-01-20,16889.275
2016-01-21,16723.498
2016-01-22,16581.35
2016-01-25,16496.65
2016-01-26,16432.088
2016-01-27,16405.2
2016-01-28,16403.98
2016-01-29,16428.666
2016-02-01,16503.512
2016-02-02,16601.012
2016-02-03,16673.818
2016-02-04,16706.787
2016-02-05,16691.168
2016-02-08,16646.717
2016-02-09,16557.672
2016-02-10,16412.807
2016-02-12,16196.151
2016-02-15,15981.473
2016-02-16,15810.637
2016-02-17,15676.939
2016-02-18,15597.027
2016-02-19,15542.592
2016-02-22,15509.82
2016-02-23,15506.124
2016-02-24,15503.368
2016-02-25,15514.425
2016-02-26,15548.983
2016-02-29,15590.486
2016-03-01,15620.747
2016-03-02,15678.979
2016-03-03,15767.588
2016-03-04,15877.784
2016-03-07,15993.233
2016-03-08,16089.942
2016-03-09,16155.689
2016-03-10,16210.632
2016-03-11,16251.299
2016-03-14,16310.674
2016-03-15,16375.227
2016-03-16,16427.986
2016-03-17,16470.682
2016-03-18,16488.473
2016-03-22,16502.91
2016-03-23,16519.324
2016-03-24,16529.363
2016-03-25,16537.018
2016-03-28,16551.748
2016-03-29,16566.479
2016-03-30,16576.2
2016-03-31,16575.588
2016-04-01,16536.223
2016-04-04,16454.582
2016-04-05,16335.635
2016-04-06,16191.135
2016-04-07,16043.241
2016-04-08,15901.713
2016-04-11,15775.254
2016-04-12,15675.653
2016-04-13,15630.385
2016-04-14,15656.369
2016-04-15,15728.291
2016-04-18,15795.277
2016-04-19,15875.169
2016-04-20,15974.716
2016-04-21,16097.903
2016-04-22,16232.802
2016-04-25,16373.873
2016-04-26,16494.781
2016-04-27,16593.088
2016-04-28,16650.863
2016-05-02,16621.43
2016-05-06,16534.502
2016-05-09,16424.738
2016-05-10,16322.718
2016-05-11,16252.3545
2016-05-12,16199.3
2016-05-13,16166.454
2016-05-16,16140.127
2016-05-17,16129.941
2016-05-18,16132.156
2016-05-19,16147.896
2016-05-20,16166.69
2016-05-23,16182.452
2016-05-24,16191.527
2016-05-25,16211.112
2016-05-26,16241.851
2016-05-27,16277.245
2016-05-30,16324.126
2016-05-31,16382.264
2016-06-01,16436.535
2016-06-02,16460.22
2016-06-03,16458.906
2016-06-06,16430.184
2016-06-07,16399.281
2016-06-08,16376.552
2016-06-09,16358.537
2016-06-10,16338.073
2016-06-13,16288.178
2016-06-14,16206.201
2016-06-15,16105.787
2016-06-16,15986.408
2016-06-17,15864.186
2016-06-20,15767.467
2016-06-21,15699.285
2016-06-22,15660.781
2016-06-23,15649.843
2016-06-24,15617.205
2016-06-27,15546.684
2016-06-28,15454.124
2016-06-29,15376.839
2016-06-30,15325.183
2016-07-01,15295.7705
2016-07-04,15280.668
2016-07-05,15276.585
2016-07-06,15258.14
2016-07-07,15229.769
2016-07-08,15191.298
2016-07-11,15171.349
2016-07-12,15199.232
2016-07-13,15271.651
2016-07-14,15366.658
2016-07-15,15478.166
2016-07-19,15602.813
2016-07-20,15726.452
2016-07-21,15853.012
2016-07-22,15958.2295
2016-07-25,16045.3
2016-07-26,16100.1045
2016-07-27,16142.877
