,adjclose_1
2018-11-06,21777.58
2018-11-07,21795.875
2018-11-08,21845.613
2018-11-09,21905.545
2018-11-12,21956.87
2018-11-13,21980.678
2018-11-14,21988.346
2018-11-15,21969.145
2018-11-16,21946.133
2018-11-19,21922.31
2018-11-20,21891.973
2018-11-21,21847.309
2018-11-26,21812.08
2018-11-27,21795.24
2018-11-28,21801.53
2018-11-29,21832.926
2018-11-30,21881.58
2018-12-03,21949.94
2018-12-04,22013.363
2018-12-05,22044.389
2018-12-06,22039.342
2018-12-07,22011.08
2018-12-10,21950.967
2018-12-11,21870.258
2018-12-12,21795.387
2018-12-13,21743.793
2018-12-14,21701.754
2018-12-17,21658.912
2018-12-18,21607.63
2018-12-19,21544.824
2018-12-20,21455.822
2018-12-25,21285.365
2018-12-26,21070.426
2018-12-27,20874.604
2019-01-04,20682.352
2019-01-07,20528.203
2019-01-08,20417.936
2019-01-09,20350.857
2019-01-10,20307.04
2019-01-11,20286.756
2019-01-15,20285.857
2019-01-16,20300.771
2019-01-17,20323.648
2019-01-18,20355.84
2019-01-21,20403.78
2019-01-22,20454.297
2019-01-23,20489.734
2019-01-24,20522.37
2019-01-25,20560.99
2019-01-28,20598.832
2019-01-29,20627.748
2019-01-30,20652.752
2019-01-31,20681.941
2019-02-01,20714.086
2019-02-04,20746.377
2019-02-05,20778.816
2019-02-06,20810.463
2019-02-07,20832.701
2019-02-08,20831.824
2019-02-12,20825.43
2019-02-13,20837.951
2019-02-14,20864.455
2019-02-15,20889.574
2019-02-18,20926.604
2019-02-19,20970.88
2019-02-20,21024.896
2019-02-21,21085.861
2019-02-22,21143.879
2019-02-25,21204.309
2019-02-26,21261.924
2019-02-27,21317.027
2019-02-28,21363.654
2019-03-01,21405.352
2019-03-04,21454.062
2019-03-05,21501.064
2019-03-06,21539.082
2019-03-07,21561.94
2019-03-08,21562.244
2019-03-11,21534.473
2019-03-12,21510.926
2019-03-13,21487.709
2019-03-14,21468.658
2019-03-15,21457.64
2019-03-18,21456.04
2019-03-19,21459.861
2019-03-20,21470.0
2019-03-22,21489.492
2019-03-25,21485.842
2019-03-26,21478.229
2019-03-27,21466.152
2019-03-28,21438.793
2019-03-29,21407.797
2019-04-01,21396.02
2019-04-02,21401.574
2019-04-03,21417.75
2019-04-04,21444.66
2019-04-05,21480.455
2019-04-08,21522.537
2019-04-09,21563.326
2019-04-10,21594.904
2019-04-11,21621.303
2019-04-12,21649.11
2019-04-15,21694.693
2019-04-16,21749.727
2019-04-17,21814.652
2019-04-18,21877.16
2019-04-19,21927.715
2019-04-22,21973.53
2019-04-23,22017.324
2019-04-24,22061.164
2019-04-25,22100.295
2019-04-26,22131.645
2019-05-07,22150.22
2019-05-08,22134.02
2019-05-09,22087.852
2019-05-10,22020.61
2019-05-13,21930.133
2019-05-14,21818.275
2019-05-15,21707.096
2019-05-16,21601.324
2019-05-17,21514.975
2019-05-20,21448.723
2019-05-21,21396.008
2019-05-22,21359.695
2019-05-23,21327.027
2019-05-24,21292.777
2019-05-27,21263.447
2019-05-28,21249.418
2019-05-29,21230.504
2019-05-30,21201.342
2019-05-31,21159.898
2019-06-03,21093.633
2019-06-04,21015.918
2019-06-05,20952.342
2019-06-06,20903.965
2019-06-07,20872.537
2019-06-10,20868.895
2019-06-11,20885.322
2019-06-12,20915.67
2019-06-13,20947.295
2019-06-14,20978.18
2019-06-17,21007.809
2019-06-18,21032.281
2019-06-19,21065.336
2019-06-20,21109.354
2019-06-21,21158.678
