,adjclose
2015-12-02,19938.130859375
2015-12-03,19939.900390625
2015-12-04,19504.48046875
2015-12-07,19698.150390625
2015-12-08,19492.599609375
2015-12-09,19301.0703125
2015-12-10,19046.55078125
2015-12-11,19230.48046875
2015-12-14,18883.419921875
2015-12-15,18565.900390625
2015-12-16,19049.91015625
2015-12-17,19353.560546875
2015-12-18,18986.80078125
2015-12-21,18916.01953125
2015-12-22,18886.69921875
2015-12-24,18789.689453125
2015-12-25,18769.060546875
2015-12-28,18873.349609375
2015-12-29,18982.23046875
2015-12-30,19033.7109375
2016-01-04,18450.98046875
2016-01-05,18374.0
2016-01-06,18191.3203125
2016-01-07,17767.33984375
2016-01-08,17697.9609375
2016-01-12,17218.9609375
2016-01-13,17715.630859375
2016-01-14,17240.94921875
2016-01-15,17147.109375
2016-01-18,16955.5703125
2016-01-19,17048.369140625
2016-01-20,16416.189453125
2016-01-21,16017.259765625
2016-01-22,16958.529296875
2016-01-25,17110.91015625
2016-01-26,16708.900390625
2016-01-27,17163.919921875
2016-01-28,17041.44921875
2016-01-29,17518.30078125
2016-02-01,17865.23046875
2016-02-02,17750.6796875
2016-02-03,17191.25
2016-02-04,17044.990234375
2016-02-05,16819.58984375
2016-02-08,17004.30078125
2016-02-09,16085.4404296875
2016-02-10,15713.3896484375
2016-02-12,14952.6103515625
2016-02-15,16022.580078125
2016-02-16,16054.4296875
2016-02-17,15836.3603515625
2016-02-18,16196.7998046875
2016-02-19,15967.169921875
2016-02-22,16111.0498046875
2016-02-23,16052.0498046875
2016-02-24,15915.7900390625
2016-02-25,16140.33984375
2016-02-26,16188.41015625
2016-02-29,16026.759765625
2016-03-01,16085.509765625
2016-03-02,16746.55078125
2016-03-03,16960.16015625
2016-03-04,17014.779296875
2016-03-07,16911.3203125
2016-03-08,16783.150390625
2016-03-09,16642.19921875
2016-03-10,16852.349609375
2016-03-11,16938.869140625
2016-03-14,17233.75
2016-03-15,17117.0703125
2016-03-16,16974.44921875
2016-03-17,16936.380859375
2016-03-18,16724.810546875
2016-03-22,17048.55078125
2016-03-23,17000.98046875
2016-03-24,16892.330078125
2016-03-25,17002.75
2016-03-28,17134.369140625
2016-03-29,17103.529296875
2016-03-30,16878.9609375
2016-03-31,16758.669921875
2016-04-01,16164.16015625
2016-04-04,16123.26953125
2016-04-05,15732.8203125
2016-04-06,15715.3603515625
2016-04-07,15749.83984375
