,adjclose_1
2015-12-02,22264.9
2015-12-03,22286.346
2015-12-04,22277.877
2015-12-07,22261.332
2015-12-08,22233.625
2015-12-09,22183.904
2015-12-10,22101.947
2015-12-11,22012.91
2015-12-14,21902.098
2015-12-15,21776.746
2015-12-16,21668.166
2015-12-17,21610.139
2015-12-18,21584.043
2015-12-21,21545.457
2015-12-22,21501.271
2015-12-24,21457.588
2015-12-25,21407.377
2015-12-28,21358.654
2015-12-29,21317.703
2015-12-30,21297.062
2016-01-04,21264.4
2016-01-05,21208.453
2016-01-06,21132.262
2016-01-07,21026.148
2016-01-08,20888.623
2016-01-12,20715.547
2016-01-13,20544.549
2016-01-14,20363.717
2016-01-15,20194.654
2016-01-18,20009.59
2016-01-19,19832.725
2016-01-20,19656.273
2016-01-21,19464.547
2016-01-22,19298.846
2016-01-25,19191.35
2016-01-26,19101.914
2016-01-27,19053.104
2016-01-28,19032.373
2016-01-29,19054.607
2016-02-01,19139.004
2016-02-02,19249.682
2016-02-03,19336.15
2016-02-04,19381.115
2016-02-05,19375.34
2016-02-08,19335.47
2016-02-09,19243.254
2016-02-10,19089.887
2016-02-12,18860.373
2016-02-15,18627.656
2016-02-16,18433.508
2016-02-17,18270.74
2016-02-18,18158.314
2016-02-19,18067.406
2016-02-22,17996.596
2016-02-23,17958.479
2016-02-24,17923.559
2016-02-25,17908.83
2016-02-26,17923.668
2016-02-29,17951.457
2016-03-01,17970.553
2016-03-02,18026.701
2016-03-03,18123.64
2016-03-04,18248.838
2016-03-07,18380.926
2016-03-08,18495.441
2016-03-09,18576.213
2016-03-10,18642.477
2016-03-11,18696.924
2016-03-14,18769.45
2016-03-15,18845.494
2016-03-16,18905.77
2016-03-17,18955.613
2016-03-18,18978.658
2016-03-22,18996.89
2016-03-23,19013.686
2016-03-24,19023.723
2016-03-25,19031.086
2016-03-28,19046.213
2016-03-29,19061.404
2016-03-30,19072.127
2016-03-31,19074.672
2016-04-01,19039.238
2016-04-04,18956.092
2016-04-05,18830.746
2016-04-06,18674.354
2016-04-07,18510.781
2016-04-08,18354.748
2016-04-11,18210.002
2016-04-12,18091.9
2016-04-13,18033.287
2016-04-14,18055.516
2016-04-15,18127.93
2016-04-18,18195.492
2016-04-19,18279.38
2016-04-20,18386.494
2016-04-21,18523.512
2016-04-22,18683.045
2016-04-25,18851.7
2016-04-26,18998.03
2016-04-27,19117.041
2016-04-28,19197.434
2016-05-02,19180.44
2016-05-06,19093.62
2016-05-09,18972.596
2016-05-10,18857.465
2016-05-11,18773.445
2016-05-12,18705.855
2016-05-13,18661.432
2016-05-16,18622.408
2016-05-17,18598.945
2016-05-18,18592.934
2016-05-19,18603.787
2016-05-20,18618.672
2016-05-23,18630.148
2016-05-24,18633.326
2016-05-25,18647.521
2016-05-26,18675.879
2016-05-27,18710.268
2016-05-30,18757.959
2016-05-31,18823.984
2016-06-01,18889.096
2016-06-02,18922.908
2016-06-03,18927.307
2016-06-06,18900.934
2016-06-07,18869.605
2016-06-08,18845.492
2016-06-09,18825.248
2016-06-10,18804.38
2016-06-13,18751.39
2016-06-14,18662.238
2016-06-15,18551.94
2016-06-16,18421.14
2016-06-17,18286.668
2016-06-20,18177.172
2016-06-21,18096.414
2016-06-22,18044.367
2016-06-23,18020.709
2016-06-24,17986.85
2016-06-27,17910.328
2016-06-28,17809.924
2016-06-29,17722.47
2016-06-30,17659.846
2016-07-01,17617.102
2016-07-04,17587.014
2016-07-05,17566.826
2016-07-06,17534.727
2016-07-07,17492.77
2016-07-08,17440.578
2016-07-11,17411.346
2016-07-12,17440.172
2016-07-13,17523.61
2016-07-14,17631.809
2016-07-15,17760.77
2016-07-19,17903.803
2016-07-20,18044.025
2016-07-21,18187.762
2016-07-22,18306.225
2016-07-25,18403.395
2016-07-26,18466.49
2016-07-27,18520.277
2016-07-28,18556.38
2016-07-29,18578.926
2016-08-01,18593.479
2016-08-02,18593.086
2016-08-03,18562.52
2016-08-04,18514.785
2016-08-05,18467.15
2016-08-08,18444.557
2016-08-09,18450.68
2016-08-10,18476.146
2016-08-12,18524.818
2016-08-15,18582.219
2016-08-16,18632.555
2016-08-17,18671.412
2016-08-18,18694.586
2016-08-19,18702.812
2016-08-22,18702.883
2016-08-23,18694.799
2016-08-24,18684.994
2016-08-25,18674.33
2016-08-26,18653.492
2016-08-29,18648.986
2016-08-30,18657.104
2016-08-31,18688.035
2016-09-01,18732.736
2016-09-02,18781.215
2016-09-05,18841.936
2016-09-06,18903.105
2016-09-07,18954.701
2016-09-08,18993.44
2016-09-09,19023.725
2016-09-12,19026.201
2016-09-13,19011.633
2016-09-14,18981.291
2016-09-15,18930.15
2016-09-16,18872.344
2016-09-20,18813.67
2016-09-21,18774.666
2016-09-23,18758.494
2016-09-26,18743.475
2016-09-27,18724.643
2016-09-28,18699.01
2016-09-29,18684.88
2016-09-30,18664.627
2016-10-03,18650.033
2016-10-04,18647.854
2016-10-05,18662.742
2016-10-06,18696.93
2016-10-07,18736.506
2016-10-11,18786.758
2016-10-12,18832.018
2016-10-13,18869.102
2016-10-14,18894.148
2016-10-17,18915.307
2016-10-18,18934.588
2016-10-19,18957.078
2016-10-20,18991.465
2016-10-21,19040.084
2016-10-24,19091.676
2016-10-25,19151.635
2016-10-26,19213.822
2016-10-27,19273.002
2016-10-28,19337.531
2016-10-31,19396.75
2016-11-01,19446.754
2016-11-02,19470.506
2016-11-04,19455.678
2016-11-07,19431.766
2016-11-08,19407.748
2016-11-09,19364.768
2016-11-10,19325.535
2016-11-11,19327.88
2016-11-14,19358.955
2016-11-15,19411.744
2016-11-16,19488.71
2016-11-17,19571.094
2016-11-18,19663.752
2016-11-21,19759.85
2016-11-22,19854.107
2016-11-24,19959.098
2016-11-25,20069.396
2016-11-28,20169.666
2016-11-29,20253.44
2016-11-30,20326.537
2016-12-01,20407.695
2016-12-02,20478.51
2016-12-05,20525.744
2016-12-06,20562.336
2016-12-07,20594.322
2016-12-08,20641.611
2016-12-09,20713.973
2016-12-12,20814.688
2016-12-13,20922.861
2016-12-14,21031.72
2016-12-15,21139.012
2016-12-16,21245.893
2016-12-19,21339.426
2016-12-20,21423.92
2016-12-21,21503.1
2016-12-22,21566.717
2016-12-26,21615.396
2016-12-27,21653.012
2016-12-28,21681.008
2016-12-29,21692.91
2016-12-30,21682.623
2017-01-04,21687.865
2017-01-05,21710.582
2017-01-06,21731.54
2017-01-10,21745.395
2017-01-11,21753.682
2017-01-12,21746.305
2017-01-13,21731.45
2017-01-16,21708.084
2017-01-17,21664.312
2017-01-18,21601.914
2017-01-19,21553.914
2017-01-20,21519.707
2017-01-23,21483.21
2017-01-24,21439.988
2017-01-25,21412.566
2017-01-26,21417.123
2017-01-27,21450.93
2017-01-30,21491.293
2017-01-31,21515.941
2017-02-01,21523.752
2017-02-02,21519.629
2017-02-03,21502.92
2017-02-06,21482.0
2017-02-07,21449.807
2017-02-08,21418.252
2017-02-09,21389.25
2017-02-10,21392.508
2017-02-13,21428.178
2017-02-14,21474.408
2017-02-15,21530.133
2017-02-16,21581.48
2017-02-17,21615.879
2017-02-20,21631.998
2017-02-21,21643.938
2017-02-22,21661.037
2017-02-23,21677.783
2017-02-24,21687.969
2017-02-27,21678.994
2017-02-28,21663.393
2017-03-01,21654.12
2017-03-02,21672.973
2017-03-03,21699.342
2017-03-06,21718.107
2017-03-07,21728.19
2017-03-08,21727.922
2017-03-09,21724.912
2017-03-10,21739.113
2017-03-13,21765.807
2017-03-14,21801.459
2017-03-15,21835.19
2017-03-16,21864.06
2017-03-17,21887.795
2017-03-21,21897.717
2017-03-22,21875.904
2017-03-23,21831.35
2017-03-24,21784.072
2017-03-27,21725.172
2017-03-28,21676.191
2017-03-29,21640.03
2017-03-30,21608.322
2017-03-31,21578.105
2017-04-03,21545.678
2017-04-04,21503.863
2017-04-05,21458.525
2017-04-06,21399.672
2017-04-07,21337.85
2017-04-10,21285.322
2017-04-11,21235.459
2017-04-12,21178.947
2017-04-13,21111.246
2017-04-14,21035.287
2017-04-17,20948.922
2017-04-18,20881.955
2017-04-19,20831.914
2017-04-20,20801.35
2017-04-21,20795.25
2017-04-24,20823.996
2017-04-25,20880.996
2017-04-26,20970.88
2017-04-27,21074.15
2017-04-28,21176.182
2017-05-01,21269.602
2017-05-02,21362.787
2017-05-08,21481.658
2017-05-09,21612.96
2017-05-10,21743.785
2017-05-11,21869.043
2017-05-12,21977.838
2017-05-15,22061.494
2017-05-16,22132.352
2017-05-17,22180.77
2017-05-18,22193.361
2017-05-19,22184.178
2017-05-22,22166.828
2017-05-23,22143.66
2017-05-24,22129.084
2017-05-25,22124.4
2017-05-26,22123.777
2017-05-29,22120.895
2017-05-30,22115.201
2017-05-31,22110.664
2017-06-01,22117.492
2017-06-02,22155.686
2017-06-05,22214.059
2017-06-06,22271.979
2017-06-07,22318.742
2017-06-08,22357.17
2017-06-09,22390.281
2017-06-12,22409.105
2017-06-13,22414.123
2017-06-14,22413.377
2017-06-15,22403.344
2017-06-16,22397.754
2017-06-19,22398.37
2017-06-20,22420.088
2017-06-21,22448.338
2017-06-22,22476.312
2017-06-23,22501.277
2017-06-26,22523.953
2017-06-27,22550.043
2017-06-28,22573.709
2017-06-29,22600.736
2017-06-30,22611.643
2017-07-03,22612.229
2017-07-04,22609.41
2017-07-05,22599.02
2017-07-06,22584.63
2017-07-07,22560.562
2017-07-10,22544.068
2017-07-11,22537.73
2017-07-12,22537.264
2017-07-13,22542.69
2017-07-18,22544.287
2017-07-19,22540.152
2017-07-20,22539.797
2017-07-21,22542.582
2017-07-24,22537.516
2017-07-25,22528.107
2017-07-26,22524.21
2017-07-27,22524.99
2017-07-28,22524.643
2017-07-31,22520.72
2017-08-01,22513.951
2017-08-02,22512.318
2017-08-03,22511.068
2017-08-04,22503.166
2017-08-07,22498.879
2017-08-08,22495.592
2017-08-09,22479.93
2017-08-10,22453.389
2017-08-11,22358.383
2017-08-14,22270.008
2017-08-15,22209.93
2017-08-16,22172.219
2017-08-17,22148.588
2017-08-18,22120.527
2017-08-21,22087.658
2017-08-22,22048.947
2017-08-23,22016.754
2017-08-24,21982.854
2017-08-25,21953.81
2017-08-28,21933.182
2017-08-29,21909.34
2017-08-30,21897.396
2017-08-31,21904.45
2017-09-01,21926.816
2017-09-04,21946.176
2017-09-05,21954.49
2017-09-06,21945.777
2017-09-07,21933.82
2017-09-08,21912.926
2017-09-11,21901.072
2017-09-12,21914.938
2017-09-13,21952.531
2017-09-14,22001.275
2017-09-19,22081.969
2017-09-20,22183.02
2017-09-21,22296.91
2017-09-22,22405.078
2017-09-25,22505.324
2017-09-26,22588.86
2017-09-27,22648.285
2017-09-28,22696.973
2017-09-29,22734.309
2017-10-02,22765.908
2017-10-03,22802.717
2017-10-04,22848.83
2017-10-05,22897.025
2017-10-10,22952.506
2017-10-11,23016.682
2017-10-12,23090.375
2017-10-13,23174.502
2017-10-16,23272.865
2017-10-17,23377.8
2017-10-18,23480.441
2017-10-19,23580.441
2017-10-20,23670.781
2017-10-23,23767.396
2017-10-24,23864.996
2017-10-25,23962.97
2017-10-26,24048.125
2017-10-27,24134.879
2017-10-30,24224.125
2017-10-31,24301.68
2017-11-01,24390.076
2017-11-02,24494.467
2017-11-03,24596.066
2017-11-06,24697.848
2017-11-07,24807.402
2017-11-08,24923.637
2017-11-09,25044.312
2017-11-10,25135.602
2017-11-13,25189.447
2017-11-14,25208.926
2017-11-15,25190.33
2017-11-16,25149.87
2017-11-17,25123.826
2017-11-20,25092.146
2017-11-21,25070.791
2017-11-24,25058.637
2017-11-27,25059.93
2017-11-28,25065.123
2017-11-29,25082.285
2017-11-30,25112.266
2017-12-01,25160.635
2017-12-04,25209.568
2017-12-05,25243.152
2017-12-06,25247.115
2017-12-07,25236.125
2017-12-08,25239.586
2017-12-11,25263.086
2017-12-12,25299.277
2017-12-13,25334.492
2017-12-14,25359.178
2017-12-15,25368.553
2017-12-18,25383.164
2017-12-19,25405.557
2017-12-20,25428.572
2017-12-21,25447.916
2017-12-22,25465.541
2017-12-25,25480.598
2017-12-26,25494.365
2017-12-27,25506.965
2017-12-28,25515.969
2018-01-04,25555.75
2018-01-09,25655.23
2018-01-10,25780.105
2018-01-11,25901.578
2018-01-12,26011.666
2018-01-15,26111.457
2018-01-16,26201.396
2018-01-17,26278.758
2018-01-18,26349.936
2018-01-19,26405.104
2018-01-22,26442.99
2018-01-23,26484.418
2018-01-24,26524.494
2018-01-25,26543.334
2018-01-26,26545.523
2018-01-29,26535.016
2018-01-30,26500.422
2018-01-31,26438.389
2018-02-01,26375.51
2018-02-02,26311.021
2018-02-05,26217.443
2018-02-06,26046.113
2018-02-07,25840.406
2018-02-08,25617.312
2018-02-13,25372.686
2018-02-14,25112.145
2018-02-15,24875.963
2018-02-16,24687.691
2018-02-19,24568.22
2018-02-20,24498.068
2018-02-21,24464.379
2018-02-22,24439.754
2018-02-23,24427.404
2018-02-26,24444.79
2018-02-27,24499.045
2018-02-28,24559.902
2018-03-01,24591.328
2018-03-02,24562.213
2018-03-05,24480.959
2018-03-06,24398.408
2018-03-07,24312.676
2018-03-08,24238.387
2018-03-09,24190.184
2018-03-12,24178.521
2018-03-13,24191.273
2018-03-14,24213.576
2018-03-15,24236.207
2018-03-16,24260.96
2018-03-19,24266.945
2018-03-22,24258.094
2018-03-23,24201.803
2018-03-26,24094.941
2018-03-27,24002.25
2018-03-28,23911.188
2018-03-29,23843.639
2018-03-30,23812.111
2018-04-02,23807.582
2018-04-03,23803.402
2018-04-04,23811.066
2018-04-05,23843.854
2018-04-06,23892.22
2018-04-09,23945.479
2018-04-10,24005.436
2018-04-11,24068.408
2018-04-12,24120.865
2018-04-13,24174.252
2018-04-16,24225.65
2018-04-17,24271.816
2018-04-18,24328.06
2018-04-19,24401.656
2018-04-20,24475.52
2018-04-23,24541.275
2018-04-24,24605.535
2018-04-25,24659.047
2018-04-26,24712.371
2018-05-01,24774.455
2018-05-07,24836.352
2018-05-08,24895.246
2018-05-09,24945.084
2018-05-10,24988.76
2018-05-11,25038.205
2018-05-14,25096.64
2018-05-15,25162.666
2018-05-16,25220.553
2018-05-17,25275.672
2018-05-18,25330.213
2018-05-21,25384.977
2018-05-22,25437.305
2018-05-23,25471.533
2018-05-24,25473.852
2018-05-25,25447.686
2018-05-28,25408.963
2018-05-29,25357.748
2018-05-30,25280.242
2018-05-31,25205.215
2018-06-01,25135.082
2018-06-04,25088.516
2018-06-05,25067.871
2018-06-06,25067.725
2018-06-07,25095.793
2018-06-08,25139.11
2018-06-11,25186.328
2018-06-12,25243.625
2018-06-13,25304.69
2018-06-14,25355.453
2018-06-15,25400.096
2018-06-18,25428.047
2018-06-19,25423.314
2018-06-20,25396.814
2018-06-21,25372.74
2018-06-22,25343.05
2018-06-25,25307.586
2018-06-26,25257.385
2018-06-27,25204.555
2018-06-28,25148.045
2018-06-29,25098.396
2018-07-02,25039.975
2018-07-03,24963.348
2018-07-04,24872.697
2018-07-05,24773.812
2018-07-06,24685.467
2018-07-09,24625.38
2018-07-10,24608.824
2018-07-11,24599.668
2018-07-12,24606.79
2018-07-13,24650.58
2018-07-16,24710.861
2018-07-17,24792.615
2018-07-18,24896.137
2018-07-19,25003.686
2018-07-20,25097.908
2018-07-23,25158.242
2018-07-24,25196.88
2018-07-25,25224.328
2018-07-26,25246.438
2018-07-27,25266.117
2018-07-30,25277.258
2018-07-31,25279.84
2018-08-01,25289.2
2018-08-02,25295.006
2018-08-03,25292.89
2018-08-06,25284.156
2018-08-07,25275.236
2018-08-08,25274.14
2018-08-09,25271.396
2018-08-10,25258.723
2018-08-13,25208.975
2018-08-14,25152.62
2018-08-15,25101.107
2018-08-16,25044.002
2018-08-17,25002.076
2018-08-20,24967.664
2018-08-21,24936.955
2018-08-22,24919.96
2018-08-23,24921.348
2018-08-24,24942.564
2018-08-27,24990.271
2018-08-28,25062.537
2018-08-29,25142.709
2018-08-30,25227.885
2018-08-31,25299.467
2018-09-03,25353.371
2018-09-04,25387.793
2018-09-05,25403.18
2018-09-06,25395.086
2018-09-07,25360.982
2018-09-10,25313.184
2018-09-11,25278.555
2018-09-12,25260.984
2018-09-13,25262.85
2018-09-18,25312.342
2018-09-19,25423.525
2018-09-20,25563.732
2018-09-25,25724.857
2018-09-26,25888.953
2018-09-27,26039.48
2018-09-28,26186.219
2018-10-01,26325.467
2018-10-02,26458.625
2018-10-03,26567.146
2018-10-04,26649.28
2018-10-09,26669.574
2018-10-10,26647.303
2018-10-11,26553.174
2018-10-12,26400.643
2018-10-15,26212.367
2018-10-16,26016.004
2018-10-17,25858.951
2018-10-18,25733.408
2018-10-19,25612.545
2018-10-22,25507.652
2018-10-23,25401.965
2018-10-24,25295.229
2018-10-25,25151.18
2018-10-26,24978.271
2018-10-29,24796.516
2018-10-30,24624.873
2018-10-31,24504.19
2018-11-01,24427.336
2018-11-02,24398.8
2018-11-05,24397.021
2018-11-06,24415.068
2018-11-07,24455.129
2018-11-08,24529.08
2018-11-09,24610.137
2018-11-12,24675.969
2018-11-13,24698.54
2018-11-14,24697.627
2018-11-15,24668.2
2018-11-16,24628.268
2018-11-19,24586.734
2018-11-20,24536.975
