,adjclose_1
2015-12-02,18056.156
2015-12-03,18065.35
2015-12-04,18051.45
2015-12-07,18030.236
2015-12-08,18003.96
2015-12-09,17962.225
2015-12-10,17893.25
2015-12-11,17831.174
2015-12-14,17748.645
2015-12-15,17656.555
2015-12-16,17584.229
2015-12-17,17558.93
2015-12-18,17565.32
2015-12-21,17547.666
2015-12-22,17517.969
2015-12-24,17485.572
2015-12-25,17445.78
2015-12-28,17404.889
2015-12-29,17370.398
2015-12-30,17354.46
2016-01-04,17332.117
2016-01-05,17289.564
2016-01-06,17231.871
2016-01-07,17154.213
2016-01-08,17057.035
2016-01-12,16931.896
2016-01-13,16809.494
2016-01-14,16684.293
2016-01-15,16571.926
2016-01-18,16444.195
2016-01-19,16325.048
2016-01-20,16209.132
2016-01-21,16088.765
2016-01-22,15989.026
2016-01-25,15931.389
2016-01-26,15878.889
2016-01-27,15858.33
2016-01-28,15853.652
2016-01-29,15905.521
2016-02-01,16002.853
2016-02-02,16103.506
2016-02-03,16174.324
2016-02-04,16207.749
2016-02-05,16202.198
2016-02-08,16164.728
2016-02-09,16088.617
2016-02-10,15976.203
2016-02-12,15818.1455
2016-02-15,15657.269
2016-02-16,15531.79
2016-02-17,15427.854
2016-02-18,15361.781
2016-02-19,15302.369
2016-02-22,15251.469
2016-02-23,15227.567
2016-02-24,15199.258
2016-02-25,15188.13
2016-02-26,15195.855
2016-02-29,15211.291
2016-03-01,15213.283
2016-03-02,15251.504
2016-03-03,15327.235
2016-03-04,15420.399
2016-03-07,15509.297
2016-03-08,15581.729
2016-03-09,15622.448
2016-03-10,15650.145
2016-03-11,15681.707
2016-03-14,15726.532
2016-03-15,15773.551
2016-03-16,15804.015
2016-03-17,15830.743
2016-03-18,15837.221
2016-03-22,15841.071
2016-03-23,15840.38
2016-03-24,15839.954
2016-03-25,15837.774
2016-03-28,15842.927
2016-03-29,15847.381
2016-03-30,15849.722
2016-03-31,15849.948
2016-04-01,15821.22
2016-04-04,15750.292
2016-04-05,15648.989
2016-04-06,15527.07
2016-04-07,15405.364
2016-04-08,15300.649
2016-04-11,15200.976
2016-04-12,15126.68
2016-04-13,15105.019
2016-04-14,15151.063
2016-04-15,15223.397
2016-04-18,15278.57
2016-04-19,15343.851
2016-04-20,15424.481
2016-04-21,15530.75
2016-04-22,15663.095
2016-04-25,15791.073
2016-04-26,15891.515
2016-04-27,15963.567
2016-04-28,16017.84
2016-05-02,15985.672
2016-05-06,15897.857
2016-05-09,15787.177
2016-05-10,15699.602
2016-05-11,15643.211
2016-05-12,15600.2705
2016-05-13,15580.545
2016-05-16,15556.131
2016-05-17,15539.238
2016-05-18,15541.838
2016-05-19,15553.457
2016-05-20,15562.16
2016-05-23,15562.78
2016-05-24,15553.964
2016-05-25,15555.29
2016-05-26,15571.054
2016-05-27,15589.59
2016-05-30,15617.418
2016-05-31,15669.19
2016-06-01,15715.874
2016-06-02,15734.0205
2016-06-03,15723.196
2016-06-06,15690.626
2016-06-07,15657.522
2016-06-08,15635.034
2016-06-09,15618.44
2016-06-10,15608.432
2016-06-13,15566.962
2016-06-14,15496.4375
2016-06-15,15413.2705
2016-06-16,15318.865
2016-06-17,15228.629
2016-06-20,15158.02
2016-06-21,15108.745
