,adjclose_1
2015-12-02,20216.748
2015-12-03,20237.596
2015-12-04,20228.309
2015-12-07,20214.936
2015-12-08,20191.406
2015-12-09,20144.97
2015-12-10,20067.246
2015-12-11,19976.844
2015-12-14,19859.781
2015-12-15,19727.229
2015-12-16,19611.229
2015-12-17,19543.465
2015-12-18,19497.004
2015-12-21,19435.285
2015-12-22,19374.342
2015-12-24,19321.922
2015-12-25,19272.635
2015-12-28,19235.443
2015-12-29,19215.508
2015-12-30,19222.123
2016-01-04,19212.465
2016-01-05,19175.203
2016-01-06,19110.648
2016-01-07,19006.414
2016-01-08,18859.977
2016-01-12,18669.256
2016-01-13,18480.652
2016-01-14,18280.25
2016-01-15,18092.035
2016-01-18,17892.727
2016-01-19,17707.941
2016-01-20,17524.232
2016-01-21,17319.232
2016-01-22,17137.912
2016-01-25,17018.94
2016-01-26,16927.055
2016-01-27,16883.447
2016-01-28,16874.635
2016-01-29,16890.25
2016-02-01,16951.252
2016-02-02,17033.57
2016-02-03,17088.922
2016-02-04,17102.777
2016-02-05,17063.977
2016-02-08,16997.773
2016-02-09,16885.322
2016-02-10,16710.018
2016-02-12,16447.87
2016-02-15,16184.798
2016-02-16,15970.175
2016-02-17,15799.944
2016-02-18,15696.992
2016-02-19,15632.68
2016-02-22,15606.091
2016-02-23,15620.597
2016-02-24,15642.867
2016-02-25,15682.967
2016-02-26,15748.5205
2016-02-29,15819.526
2016-03-01,15876.032
2016-03-02,15959.66
2016-03-03,16069.048
2016-03-04,16194.926
2016-03-07,16323.688
2016-03-08,16431.045
2016-03-09,16506.227
2016-03-10,16573.51
2016-03-11,16626.58
2016-03-14,16699.896
2016-03-15,16780.191
2016-03-16,16851.373
2016-03-17,16913.21
2016-03-18,16947.105
2016-03-22,16976.969
2016-03-23,17010.521
2016-03-24,17037.557
2016-03-25,17061.36
2016-03-28,17091.791
2016-03-29,17122.246
2016-03-30,17145.7
2016-03-31,17153.838
2016-04-01,17112.525
2016-04-04,17021.19
2016-04-05,16885.66
2016-04-06,16720.195
2016-04-07,16549.75
2016-04-08,16383.9795
2016-04-11,16232.932
2016-04-12,16112.527
2016-04-13,16051.198
2016-04-14,16065.621
2016-04-15,16131.631
2016-04-18,16196.665
2016-04-19,16281.36
2016-04-20,16390.775
2016-04-21,16527.664
2016-04-22,16673.596
2016-04-25,16821.865
2016-04-26,16948.904
2016-04-27,17055.793
2016-04-28,17117.037
2016-05-02,17081.668
2016-05-06,16986.13
2016-05-09,16870.98
2016-05-10,16766.719
2016-05-11,16696.035
2016-05-12,16644.508
2016-05-13,16612.193
2016-05-16,16587.443
2016-05-17,16582.398
2016-05-18,16591.154
2016-05-19,16612.898
2016-05-20,16638.953
