,adjclose_1
2015-12-02,18619.055
2015-12-03,18628.844
2015-12-04,18618.82
2015-12-07,18598.104
2015-12-08,18572.105
2015-12-09,18532.635
2015-12-10,18467.654
2015-12-11,18408.805
2015-12-14,18333.363
2015-12-15,18247.242
2015-12-16,18175.715
2015-12-17,18145.02
2015-12-18,18147.756
2015-12-21,18135.256
2015-12-22,18109.998
2015-12-24,18079.11
2015-12-25,18038.066
2015-12-28,17991.545
2015-12-29,17947.111
2015-12-30,17917.543
2016-01-04,17887.77
2016-01-05,17843.37
2016-01-06,17789.043
2016-01-07,17720.61
2016-01-08,17635.941
2016-01-12,17527.54
2016-01-13,17415.71
2016-01-14,17301.066
2016-01-15,17194.262
2016-01-18,17071.092
2016-01-19,16950.865
2016-01-20,16834.402
2016-01-21,16717.701
2016-01-22,16617.957
2016-01-25,16553.795
2016-01-26,16493.852
2016-01-27,16460.418
2016-01-28,16442.092
2016-01-29,16487.816
2016-02-01,16583.271
2016-02-02,16687.256
2016-02-03,16770.959
2016-02-04,16822.307
2016-02-05,16839.209
2016-02-08,16819.318
2016-02-09,16760.877
2016-02-10,16669.541
2016-02-12,16539.504
2016-02-15,16393.986
2016-02-16,16268.495
2016-02-17,16156.337
2016-02-18,16071.292
2016-02-19,15990.736
2016-02-22,15913.845
2016-02-23,15862.444
2016-02-24,15811.423
2016-02-25,15780.214
2016-02-26,15769.955
2016-02-29,15773.434
2016-03-01,15770.745
2016-03-02,15802.421
2016-03-03,15874.183
2016-03-04,15967.428
2016-03-07,16059.644
2016-03-08,16140.536
2016-03-09,16191.482
2016-03-10,16224.83
2016-03-11,16260.251
2016-03-14,16303.436
2016-03-15,16347.534
2016-03-16,16374.516
2016-03-17,16398.342
2016-03-18,16405.914
2016-03-22,16408.781
2016-03-23,16403.732
2016-03-24,16398.994
2016-03-25,16392.469
2016-03-28,16392.62
2016-03-29,16391.69
2016-03-30,16390.54
2016-03-31,16391.121
2016-04-01,16372.343
2016-04-04,16314.431
2016-04-05,16227.184
2016-04-06,16116.6045
2016-04-07,16000.497
2016-04-08,15897.176
2016-04-11,15796.075
2016-04-12,15714.607
2016-04-13,15680.191
2016-04-14,15710.726
2016-04-15,15769.038
2016-04-18,15818.141
2016-04-19,15877.58
2016-04-20,15953.155
2016-04-21,16055.248
2016-04-22,16189.332
2016-04-25,16324.412
2016-04-26,16436.094
2016-04-27,16518.512
2016-04-28,16588.094
2016-05-02,16580.486
2016-05-06,16512.67
2016-05-09,16410.412
2016-05-10,16320.76
2016-05-11,16254.519
2016-05-12,16199.598
2016-05-13,16168.976
2016-05-16,16134.376
2016-05-17,16106.695
2016-05-18,16099.81
2016-05-19,16104.709
2016-05-20,16108.413
2016-05-23,16105.902
2016-05-24,16093.453
2016-05-25,16087.935
2016-05-26,16096.711
2016-05-27,16109.157
2016-05-30,16130.485
2016-05-31,16177.895
2016-06-01,16225.595
2016-06-02,16251.991
2016-06-03,16249.607
2016-06-06,16224.738
2016-06-07,16194.867
2016-06-08,16171.466
2016-06-09,16152.172
2016-06-10,16141.945
2016-06-13,16105.535
2016-06-14,16042.527
2016-06-15,15965.483
2016-06-16,15878.692
2016-06-17,15794.557
2016-06-20,15724.625
2016-06-21,15671.201
2016-06-22,15633.314
2016-06-23,15612.681
2016-06-24,15616.385
2016-06-27,15579.706
2016-06-28,15524.764
2016-06-29,15472.127
2016-06-30,15434.117
2016-07-01,15401.103
2016-07-04,15369.38
2016-07-05,15341.219
2016-07-06,15313.738
2016-07-07,15277.128
2016-07-08,15233.439
2016-07-11,15210.527
2016-07-12,15243.623
2016-07-13,15325.497
2016-07-14,15414.561
2016-07-15,15519.224
2016-07-19,15624.7705
2016-07-20,15719.5625
2016-07-21,15815.531
2016-07-22,15883.973
2016-07-25,15933.482
2016-07-26,15963.508
2016-07-27,15996.844
2016-07-28,16017.167
2016-07-29,16052.14
2016-08-01,16080.307
2016-08-02,16086.279
2016-08-03,16068.287
2016-08-04,16038.608
2016-08-05,16002.207
2016-08-08,15984.435
2016-08-09,15984.66
2016-08-10,15994.022
2016-08-12,16019.479
2016-08-15,16042.637
2016-08-16,16062.479
2016-08-17,16076.927
2016-08-18,16085.21
2016-08-19,16084.48
2016-08-22,16073.723
2016-08-23,16058.042
2016-08-24,16038.7705
2016-08-25,16018.889
2016-08-26,15994.676
2016-08-29,15987.529
2016-08-30,15990.207
2016-08-31,16020.608
2016-09-01,16061.999
2016-09-02,16102.445
2016-09-05,16152.137
2016-09-06,16196.99
2016-09-07,16236.852
2016-09-08,16263.729
2016-09-09,16285.335
2016-09-12,16284.013
2016-09-13,16266.423
2016-09-14,16239.512
2016-09-15,16199.425
2016-09-16,16158.453
2016-09-20,16117.819
2016-09-21,16108.688
2016-09-23,16112.4
2016-09-26,16105.795
2016-09-27,16101.697
2016-09-28,16084.469
2016-09-29,16074.006
2016-09-30,16057.929
2016-10-03,16040.277
2016-10-04,16029.818
2016-10-05,16034.763
2016-10-06,16054.552
2016-10-07,16076.373
2016-10-11,16107.799
2016-10-12,16137.0
2016-10-13,16160.393
2016-10-14,16174.702
2016-10-17,16183.411
2016-10-18,16190.517
2016-10-19,16200.978
2016-10-20,16223.826
2016-10-21,16259.699
2016-10-24,16292.763
2016-10-25,16333.948
2016-10-26,16375.469
2016-10-27,16416.035
2016-10-28,16474.77
2016-10-31,16533.861
2016-11-01,16580.096
2016-11-02,16605.287
2016-11-04,16600.236
2016-11-07,16583.553
2016-11-08,16561.69
2016-11-09,16562.027
2016-11-10,16572.729
2016-11-11,16620.012
2016-11-14,16671.52
2016-11-15,16729.176
2016-11-16,16803.299
2016-11-17,16870.014
2016-11-18,16939.133
2016-11-21,17000.826
2016-11-22,17053.135
2016-11-24,17116.158
2016-11-25,17188.715
2016-11-28,17252.658
2016-11-29,17299.668
2016-11-30,17345.967
2016-12-01,17407.77
2016-12-02,17468.945
2016-12-05,17501.654
2016-12-06,17526.504
2016-12-07,17546.35
2016-12-08,17585.322
2016-12-09,17652.004
2016-12-12,17741.262
2016-12-13,17823.564
2016-12-14,17895.727
2016-12-15,17965.484
2016-12-16,18033.352
2016-12-19,18081.318
2016-12-20,18121.54
2016-12-21,18161.117
2016-12-22,18188.066
2016-12-26,18198.295
2016-12-27,18204.363
2016-12-28,18199.861
2016-12-29,18201.967
2016-12-30,18187.3
2017-01-04,18196.314
2017-01-05,18218.064
2017-01-06,18233.873
2017-01-10,18241.488
2017-01-11,18243.355
2017-01-12,18232.977
2017-01-13,18216.998
2017-01-16,18195.146
2017-01-17,18158.484
2017-01-18,18108.822
2017-01-19,18082.838
2017-01-20,18063.547
2017-01-23,18039.635
2017-01-24,18010.135
2017-01-25,17991.729
2017-01-26,18001.357
2017-01-27,18031.9
2017-01-30,18057.648
2017-01-31,18073.496
2017-02-01,18077.389
2017-02-02,18074.627
2017-02-03,18064.744
2017-02-06,18048.934
2017-02-07,18019.732
2017-02-08,17988.629
2017-02-09,17964.385
2017-02-10,17972.04
2017-02-13,18000.87
2017-02-14,18040.385
2017-02-15,18087.457
2017-02-16,18129.982
2017-02-17,18159.385
2017-02-20,18165.027
2017-02-21,18163.404
2017-02-22,18176.56
2017-02-23,18191.738
2017-02-24,18204.336
2017-02-27,18198.479
2017-02-28,18187.434
2017-03-01,18181.605
2017-03-02,18200.225
2017-03-03,18217.873
2017-03-06,18220.725
2017-03-07,18214.865
2017-03-08,18201.951
2017-03-09,18187.988
2017-03-10,18200.424
2017-03-13,18215.39
2017-03-14,18240.348
2017-03-15,18263.434
2017-03-16,18284.043
2017-03-17,18304.62
2017-03-21,18309.076
2017-03-22,18294.002
2017-03-23,18261.336
2017-03-24,18228.54
2017-03-27,18186.32
2017-03-28,18152.316
2017-03-29,18126.686
2017-03-30,18105.309
2017-03-31,18090.814
2017-04-03,18073.807
2017-04-04,18052.014
2017-04-05,18022.72
2017-04-06,17983.002
2017-04-07,17947.215
2017-04-10,17910.188
2017-04-11,17869.469
2017-04-12,17823.186
2017-04-13,17769.943
2017-04-14,17685.084
2017-04-17,17580.586
2017-04-18,17507.682
2017-04-19,17463.588
2017-04-20,17442.607
2017-04-21,17444.207
2017-04-24,17470.545
2017-04-25,17520.637
2017-04-26,17598.23
2017-04-27,17682.775
2017-04-28,17763.928
2017-05-01,17834.127
2017-05-02,17903.092
2017-05-08,17999.125
2017-05-09,18102.11
2017-05-10,18203.732
2017-05-11,18301.674
2017-05-12,18387.156
2017-05-15,18451.143
2017-05-16,18505.117
2017-05-17,18538.912
2017-05-18,18547.955
2017-05-19,18538.066
2017-05-22,18513.393
2017-05-23,18481.64
2017-05-24,18460.049
2017-05-25,18446.848
2017-05-26,18435.379
2017-05-29,18418.207
2017-05-30,18398.979
2017-05-31,18392.602
2017-06-01,18396.758
2017-06-02,18436.266
2017-06-05,18484.758
2017-06-06,18529.404
2017-06-07,18562.371
2017-06-08,18593.133
2017-06-09,18626.127
2017-06-12,18644.219
2017-06-13,18646.287
2017-06-14,18640.574
2017-06-15,18629.27
2017-06-16,18628.871
2017-06-19,18625.062
2017-06-20,18637.543
2017-06-21,18653.918
2017-06-22,18667.104
2017-06-23,18676.092
2017-06-26,18681.86
2017-06-27,18693.209
2017-06-28,18709.85
2017-06-29,18733.928
2017-06-30,18747.506
2017-07-03,18746.678
2017-07-04,18744.229
2017-07-05,18735.227
2017-07-06,18722.217
2017-07-07,18701.004
2017-07-10,18684.55
2017-07-11,18673.725
2017-07-12,18667.365
2017-07-13,18667.744
2017-07-18,18667.1
2017-07-19,18660.41
2017-07-20,18656.092
2017-07-21,18653.5
2017-07-24,18645.445
2017-07-25,18632.082
2017-07-26,18626.08
2017-07-27,18626.121
2017-07-28,18630.887
2017-07-31,18642.236
2017-08-01,18649.12
2017-08-02,18655.236
2017-08-03,18657.258
2017-08-04,18648.447
2017-08-07,18639.436
2017-08-08,18631.102
2017-08-09,18618.967
2017-08-10,18601.438
2017-08-11,18522.371
2017-08-14,18455.988
2017-08-15,18411.154
2017-08-16,18378.89
2017-08-17,18355.652
2017-08-18,18333.297
2017-08-21,18305.777
2017-08-22,18272.36
2017-08-23,18245.93
2017-08-24,18218.475
2017-08-25,18194.39
2017-08-28,18176.643
2017-08-29,18157.568
2017-08-30,18152.09
2017-08-31,18164.482
2017-09-01,18185.963
2017-09-04,18201.164
2017-09-05,18206.865
2017-09-06,18201.227
2017-09-07,18192.855
2017-09-08,18182.99
2017-09-11,18176.855
2017-09-12,18191.209
2017-09-13,18222.172
2017-09-14,18261.94
2017-09-19,18331.92
2017-09-20,18414.703
2017-09-21,18508.238
2017-09-22,18592.42
2017-09-25,18664.633
2017-09-26,18723.41
2017-09-27,18756.918
2017-09-28,18784.271
