,adjclose_1
2015-12-02,20179.62
2015-12-03,20191.342
2015-12-04,20163.197
2015-12-07,20134.83
2015-12-08,20096.854
2015-12-09,20033.756
2015-12-10,19935.445
2015-12-11,19838.035
2015-12-14,19719.033
2015-12-15,19589.357
2015-12-16,19494.229
2015-12-17,19470.088
2015-12-18,19473.762
2015-12-21,19448.352
2015-12-22,19414.166
2015-12-24,19381.846
2015-12-25,19342.666
2015-12-28,19310.293
2015-12-29,19291.256
2015-12-30,19297.08
2016-01-04,19273.184
2016-01-05,19213.021
2016-01-06,19126.656
2016-01-07,19002.012
2016-01-08,18844.564
2016-01-12,18651.006
2016-01-13,18483.66
2016-01-14,18312.59
2016-01-15,18166.082
2016-01-18,18002.783
2016-01-19,17858.42
2016-01-20,17711.223
2016-01-21,17537.055
2016-01-22,17408.273
2016-01-25,17359.201
2016-01-26,17321.107
2016-01-27,17328.697
2016-01-28,17358.07
2016-01-29,17420.791
2016-02-01,17543.492
2016-02-02,17677.213
2016-02-03,17756.041
2016-02-04,17772.871
2016-02-05,17726.795
2016-02-08,17657.879
2016-02-09,17533.266
2016-02-10,17342.734
2016-02-12,17065.848
2016-02-15,16829.229
2016-02-16,16672.416
2016-02-17,16564.662
2016-02-18,16524.387
2016-02-19,16500.12
2016-02-22,16492.201
2016-02-23,16511.045
2016-02-24,16514.225
2016-02-25,16530.191
2016-02-26,16572.025
2016-02-29,16613.564
2016-03-01,16631.71
2016-03-02,16697.229
2016-03-03,16804.828
2016-03-04,16934.24
2016-03-07,17058.959
2016-03-08,17149.877
2016-03-09,17195.625
2016-03-10,17233.73
2016-03-11,17263.059
2016-03-14,17326.686
2016-03-15,17395.688
2016-03-16,17443.605
2016-03-17,17478.418
2016-03-18,17477.57
2016-03-22,17479.88
2016-03-23,17488.246
2016-03-24,17488.787
2016-03-25,17488.842
2016-03-28,17502.035
2016-03-29,17515.168
2016-03-30,17518.777
2016-03-31,17507.514
2016-04-01,17440.59
2016-04-04,17320.812
2016-04-05,17160.549
2016-04-06,16980.45
2016-04-07,16812.574
2016-04-08,16668.969
2016-04-11,16549.064
2016-04-12,16468.43
2016-04-13,16464.096
2016-04-14,16552.65
2016-04-15,16682.023
2016-04-18,16774.07
2016-04-19,16875.27
2016-04-20,16994.443
2016-04-21,17141.545
2016-04-22,17300.697
2016-04-25,17457.504
2016-04-26,17576.736
2016-04-27,17662.564
2016-04-28,17694.902
2016-05-02,17606.936
2016-05-06,17458.871
2016-05-09,17304.379
2016-05-10,17187.318
2016-05-11,17126.084
2016-05-12,17088.303
2016-05-13,17072.193
2016-05-16,17056.02
2016-05-17,17056.393
2016-05-18,17069.584
2016-05-19,17095.098
2016-05-20,17118.889
2016-05-23,17133.287
2016-05-24,17134.035
2016-05-25,17151.418
2016-05-26,17184.434
2016-05-27,17221.338
2016-05-30,17273.979
2016-05-31,17342.863
2016-06-01,17399.709
2016-06-02,17406.871
2016-06-03,17382.521
2016-06-06,17328.748
2016-06-07,17283.28
2016-06-08,17258.2
2016-06-09,17240.883
2016-06-10,17219.5
2016-06-13,17152.186
2016-06-14,17042.973
2016-06-15,16918.908
2016-06-16,16775.934
2016-06-17,16639.195
2016-06-20,16549.104
2016-06-21,16503.227
2016-06-22,16491.527
2016-06-23,16509.662
2016-06-24,16481.838
2016-06-27,16391.465
2016-06-28,16278.041
2016-06-29,16196.862
2016-06-30,16155.591
2016-07-01,16143.132
2016-07-04,16146.793
2016-07-05,16157.635
2016-07-06,16139.719
2016-07-07,16104.035
2016-07-08,16053.06
2016-07-11,16038.1875
2016-07-12,16095.415
2016-07-13,16207.114
2016-07-14,16335.025
2016-07-15,16474.502
2016-07-19,16622.508
2016-07-20,16758.4
2016-07-21,16893.805
2016-07-22,16992.277
2016-07-25,17065.615
2016-07-26,17095.283
2016-07-27,17120.324
2016-07-28,17127.656
2016-07-29,17118.12
2016-08-01,17105.553
2016-08-02,17082.58
2016-08-03,17027.082
2016-08-04,16962.139
2016-08-05,16911.223
2016-08-08,16903.74
2016-08-09,16935.025
2016-08-10,16985.525
2016-08-12,17058.049
2016-08-15,17132.545
2016-08-16,17185.244
2016-08-17,17216.744
2016-08-18,17222.455
2016-08-19,17210.057
2016-08-22,17194.158
2016-08-23,17172.838
2016-08-24,17156.17
2016-08-25,17142.25
2016-08-26,17114.809
2016-08-29,17112.922
2016-08-30,17126.162
2016-08-31,17163.092
2016-09-01,17210.457
2016-09-02,17257.314
2016-09-05,17316.873
2016-09-06,17374.406
2016-09-07,17415.908
2016-09-08,17441.549
2016-09-09,17458.994
2016-09-12,17442.35
2016-09-13,17412.959
2016-09-14,17370.236
2016-09-15,17306.043
2016-09-16,17241.537
2016-09-20,17182.7
2016-09-21,17151.34
2016-09-23,17148.246
2016-09-26,17143.432
2016-09-27,17130.744
2016-09-28,17108.754
2016-09-29,17105.096
2016-09-30,17090.17
2016-10-03,17085.342
2016-10-04,17097.8
2016-10-05,17128.787
2016-10-06,17178.549
2016-10-07,17226.873
2016-10-11,17283.148
2016-10-12,17324.26
2016-10-13,17350.492
2016-10-14,17361.613
2016-10-17,17372.188
2016-10-18,17384.156
2016-10-19,17402.48
2016-10-20,17437.686
2016-10-21,17487.57
2016-10-24,17538.107
2016-10-25,17596.594
2016-10-26,17654.521
2016-10-27,17704.604
2016-10-28,17755.617
2016-10-31,17795.219
2016-11-01,17825.492
2016-11-02,17823.617
2016-11-04,17778.105
2016-11-07,17738.102
2016-11-08,17711.303
2016-11-09,17648.258
2016-11-10,17599.688
2016-11-11,17608.824
2016-11-14,17657.648
2016-11-15,17731.402
2016-11-16,17829.455
2016-11-17,17926.951
2016-11-18,18032.096
2016-11-21,18138.045
2016-11-22,18238.766
2016-11-24,18349.018
2016-11-25,18457.355
2016-11-28,18545.457
2016-11-29,18610.336
2016-11-30,18660.209
2016-12-01,18721.213
2016-12-02,18764.941
2016-12-05,18782.42
2016-12-06,18794.666
2016-12-07,18809.74
2016-12-08,18850.027
2016-12-09,18921.41
2016-12-12,19024.1
2016-12-13,19131.715
2016-12-14,19237.357
2016-12-15,19337.203
2016-12-16,19434.139
2016-12-19,19514.36
2016-12-20,19585.277
2016-12-21,19649.174
2016-12-22,19693.32
2016-12-26,19722.86
2016-12-27,19741.613
2016-12-28,19753.262
2016-12-29,19740.201
2016-12-30,19702.346
2017-01-04,19693.49
2017-01-05,19709.463
2017-01-06,19722.61
2017-01-10,19726.775
2017-01-11,19726.424
2017-01-12,19707.1
2017-01-13,19684.17
2017-01-16,19653.768
2017-01-17,19599.023
2017-01-18,19527.61
2017-01-19,19480.674
2017-01-20,19455.074
2017-01-23,19424.875
2017-01-24,19385.082
2017-01-25,19369.562
2017-01-26,19395.32
2017-01-27,19451.805
2017-01-30,19507.793
2017-01-31,19531.94
2017-02-01,19531.979
2017-02-02,19516.44
2017-02-03,19487.344
2017-02-06,19459.676
2017-02-07,19423.854
2017-02-08,19396.225
2017-02-09,19372.541
2017-02-10,19391.902
2017-02-13,19448.129
2017-02-14,19504.377
2017-02-15,19564.016
2017-02-16,19610.328
2017-02-17,19630.627
2017-02-20,19632.916
2017-02-21,19638.78
2017-02-22,19652.1
2017-02-23,19664.02
2017-02-24,19666.295
2017-02-27,19645.203
2017-02-28,19621.158
2017-03-01,19612.42
2017-03-02,19642.36
2017-03-03,19678.11
2017-03-06,19701.44
2017-03-07,19712.412
2017-03-08,19709.09
2017-03-09,19703.752
2017-03-10,19719.748
2017-03-13,19750.85
2017-03-14,19788.037
2017-03-15,19817.51
2017-03-16,19838.234
2017-03-17,19850.174
2017-03-21,19846.764
2017-03-22,19802.3
2017-03-23,19737.736
2017-03-24,19682.314
2017-03-27,19617.889
2017-03-28,19574.77
2017-03-29,19551.535
2017-03-30,19531.342
2017-03-31,19507.465
2017-04-03,19478.994
2017-04-04,19436.36
2017-04-05,19393.223
2017-04-06,19333.9
2017-04-07,19273.646
2017-04-10,19232.605
2017-04-11,19198.104
2017-04-12,19153.799
2017-04-13,19093.996
2017-04-14,19034.047
2017-04-17,18969.941
2017-04-18,18929.158
2017-04-19,18899.145
2017-04-20,18882.807
2017-04-21,18889.127
2017-04-24,18933.807
2017-04-25,19004.742
2017-04-26,19106.469
2017-04-27,19212.014
2017-04-28,19305.43
2017-05-01,19384.61
2017-05-02,19464.436
2017-05-08,19578.408
2017-05-09,19702.775
2017-05-10,19820.613
2017-05-11,19927.477
2017-05-12,20010.97
2017-05-15,20065.166
2017-05-16,20110.344
2017-05-17,20133.416
2017-05-18,20115.988
2017-05-19,20083.451
2017-05-22,20056.229
2017-05-23,20031.242
2017-05-24,20022.445
2017-05-25,20026.812
2017-05-26,20032.855
2017-05-29,20033.69
2017-05-30,20029.06
2017-05-31,20020.453
2017-06-01,20025.762
2017-06-02,20067.95
2017-06-05,20130.053
2017-06-06,20183.3
2017-06-07,20218.693
2017-06-08,20241.768
2017-06-09,20258.582
2017-06-12,20260.379
2017-06-13,20252.04
2017-06-14,20244.531
2017-06-15,20229.668
2017-06-16,20223.242
2017-06-19,20229.682
2017-06-20,20264.607
2017-06-21,20302.035
2017-06-22,20334.186
2017-06-23,20359.496
2017-06-26,20380.67
2017-06-27,20404.738
2017-06-28,20420.635
2017-06-29,20438.48
2017-06-30,20432.58
2017-07-03,20419.31
2017-07-04,20407.064
2017-07-05,20390.018
2017-07-06,20371.967
2017-07-07,20344.432
2017-07-10,20332.043
2017-07-11,20335.326
2017-07-12,20343.54
2017-07-13,20355.19
2017-07-18,20356.707
2017-07-19,20349.938
2017-07-20,20350.09
2017-07-21,20354.072
2017-07-24,20345.863
2017-07-25,20333.564
2017-07-26,20329.77
2017-07-27,20331.383
2017-07-28,20327.5
2017-07-31,20314.643
2017-08-01,20299.955
2017-08-02,20297.016
2017-08-03,20297.3
2017-08-04,20291.402
2017-08-07,20293.938
2017-08-08,20297.477
2017-08-09,20280.18
2017-08-10,20248.432
2017-08-11,20141.29
2017-08-14,20055.404
2017-08-15,20010.52
2017-08-16,19991.918
