,adjclose_1
2015-12-02,19844.96
2015-12-03,19859.04
2015-12-04,19846.52
2015-12-07,19826.184
2015-12-08,19799.412
2015-12-09,19753.693
2015-12-10,19677.229
2015-12-11,19602.45
2015-12-14,19504.621
2015-12-15,19394.693
2015-12-16,19304.44
2015-12-17,19264.473
2015-12-18,19256.316
2015-12-21,19225.648
2015-12-22,19185.156
2015-12-24,19144.877
2015-12-25,19098.938
2015-12-28,19054.934
2015-12-29,19020.238
2015-12-30,19006.621
2016-01-04,18983.932
2016-01-05,18937.05
2016-01-06,18871.775
2016-01-07,18780.447
2016-01-08,18662.145
2016-01-12,18510.33
2016-01-13,18361.588
2016-01-14,18208.1
2016-01-15,18067.256
2016-01-18,17910.316
2016-01-19,17762.723
2016-01-20,17617.943
2016-01-21,17462.928
2016-01-22,17330.906
2016-01-25,17249.922
2016-01-26,17180.13
2016-01-27,17148.107
2016-01-28,17138.285
2016-01-29,17180.834
2016-02-01,17271.639
2016-02-02,17373.275
2016-02-03,17446.477
2016-02-04,17478.908
2016-02-05,17466.498
2016-02-08,17421.816
2016-02-09,17334.314
2016-02-10,17199.768
2016-02-12,17003.023
2016-02-15,16803.05
2016-02-16,16643.48
2016-02-17,16512.33
2016-02-18,16427.188
2016-02-19,16357.23
2016-02-22,16302.994
2016-02-23,16280.539
2016-02-24,16256.627
2016-02-25,16251.538
2016-02-26,16269.855
2016-02-29,16298.015
2016-03-01,16313.287
2016-03-02,16365.767
2016-03-03,16456.146
2016-03-04,16566.258
2016-03-07,16675.307
2016-03-08,16766.924
2016-03-09,16824.488
2016-03-10,16869.486
2016-03-11,16913.045
2016-03-14,16971.861
2016-03-15,17034.629
2016-03-16,17080.887
2016-03-17,17121.383
2016-03-18,17137.559
2016-03-22,17149.906
2016-03-23,17159.338
2016-03-24,17166.605
2016-03-25,17171.008
2016-03-28,17183.287
2016-03-29,17194.707
2016-03-30,17202.393
2016-03-31,17204.324
2016-04-01,17170.988
2016-04-04,17090.156
2016-04-05,16973.494
2016-04-06,16831.646
2016-04-07,16688.037
2016-04-08,16558.684
2016-04-11,16436.969
2016-04-12,16342.54
2016-04-13,16305.389
2016-04-14,16343.019
2016-04-15,16416.268
2016-04-18,16476.424
2016-04-19,16550.19
2016-04-20,16643.686
2016-04-21,16765.93
2016-04-22,16912.105
2016-04-25,17056.781
2016-04-26,17175.37
2016-04-27,17266.24
2016-04-28,17331.344
2016-05-02,17300.854
2016-05-06,17208.574
2016-05-09,17091.203
2016-05-10,16993.559
2016-05-11,16928.31
2016-05-12,16878.156
2016-05-13,16850.947
2016-05-16,16821.38
2016-05-17,16803.51
2016-05-18,16804.576
2016-05-19,16816.97
2016-05-20,16829.04
2016-05-23,16835.242
2016-05-24,16832.49
2016-05-25,16841.627
2016-05-26,16866.39
2016-05-27,16895.22
2016-05-30,16935.756
2016-05-31,16998.045
2016-06-01,17054.238
2016-06-02,17078.371
2016-06-03,17072.062
2016-06-06,17040.645
2016-06-07,17007.693
2016-06-08,16985.465
2016-06-09,16968.484
2016-06-10,16954.48
2016-06-13,16906.016
2016-06-14,16824.637
2016-06-15,16726.895
2016-06-16,16613.809
2016-06-17,16501.105
2016-06-20,16411.283
2016-06-21,16347.903
2016-06-22,16308.945
2016-06-23,16294.887
2016-06-24,16280.632
2016-06-27,16213.558
2016-06-28,16125.173
2016-06-29,16048.347
2016-06-30,15996.604
2016-07-01,15961.437
2016-07-04,15937.568
2016-07-05,15922.903
2016-07-06,15900.45
2016-07-07,15866.004
2016-07-08,15822.107
2016-07-11,15803.001
2016-07-12,15842.309
2016-07-13,15928.903
2016-07-14,16026.038
2016-07-15,16140.142
2016-07-19,16260.405
2016-07-20,16374.451
2016-07-21,16493.434
2016-07-22,16585.533
2016-07-25,16660.129
2016-07-26,16707.527
2016-07-27,16752.83
2016-07-28,16779.906
2016-07-29,16804.965
2016-08-01,16816.826
2016-08-02,16809.053
2016-08-03,16774.99
2016-08-04,16728.713
2016-08-05,16683.248
2016-08-08,16665.93
2016-08-09,16675.178
2016-08-10,16699.957
2016-08-12,16745.621
2016-08-15,16794.033
2016-08-16,16836.254
2016-08-17,16868.104
2016-08-18,16885.89
2016-08-19,16889.125
2016-08-22,16883.266
2016-08-23,16872.137
2016-08-24,16859.646
2016-08-25,16847.7
2016-08-26,16827.75
2016-08-29,16826.045
2016-08-30,16834.66
2016-08-31,16867.754
2016-09-01,16909.326
2016-09-02,16950.004
2016-09-05,17001.955
2016-09-06,17051.38
2016-09-07,17093.346
2016-09-08,17121.736
2016-09-09,17144.63
2016-09-12,17141.12
2016-09-13,17122.879
2016-09-14,17094.09
2016-09-15,17047.941
2016-09-16,16998.926
2016-09-20,16950.14
2016-09-21,16927.295
2016-09-23,16918.791
2016-09-26,16904.4
2016-09-27,16890.34
2016-09-28,16865.107
2016-09-29,16852.865
2016-09-30,16834.672
2016-10-03,16820.764
2016-10-04,16819.766
2016-10-05,16836.56
2016-10-06,16870.332
2016-10-07,16906.0
2016-10-11,16951.61
2016-10-12,16990.762
2016-10-13,17020.623
2016-10-14,17038.803
2016-10-17,17052.91
2016-10-18,17066.621
2016-10-19,17084.588
2016-10-20,17115.781
2016-10-21,17159.637
2016-10-24,17202.166
2016-10-25,17253.777
2016-10-26,17305.691
2016-10-27,17354.824
2016-10-28,17414.156
2016-10-31,17465.895
2016-11-01,17504.418
2016-11-02,17518.502
2016-11-04,17497.426
2016-11-07,17470.39
2016-11-08,17445.848
2016-11-09,17420.951
2016-11-10,17397.39
2016-11-11,17411.125
2016-11-14,17440.195
2016-11-15,17486.45
2016-11-16,17556.33
2016-11-17,17625.99
2016-11-18,17705.605
2016-11-21,17786.006
2016-11-22,17864.209
2016-11-24,17956.69
2016-11-25,18055.654
2016-11-28,18141.592
2016-11-29,18208.93
2016-11-30,18270.15
2016-12-01,18342.324
2016-12-02,18403.512
2016-12-05,18434.748
2016-12-06,18459.58
2016-12-07,18481.654
2016-12-08,18523.9
2016-12-09,18592.39
2016-12-12,18684.088
2016-12-13,18773.908
2016-12-14,18860.979
2016-12-15,18949.002
2016-12-16,19036.96
